engName,remakeName,lagacyName,reqRunes,reqLvl,spec,base,note
Stealth,잠행,스텔스,7 5,17,"달리기/걷기 속도 +25%
시전 속도 +25%
타격 회복 속도 +25%
민첩 +6
마나 재생 15%
최대 지구력 +15
독 저항 +30%
마법 피해 3 감소",갑옷,
Smoke,연기,연기,4 17,37,"타격 회복 속도 +20%
방어력 +75% 증가
원거리 공격 방어력 +280
마력 +10
모든 저항 +50
시야 -1 시야
6 레벨 약화 (충전 18회)",갑옷,
Lionheart,용맹한 자,용맹한 자,15 17 19,41,"+20% 증가된 데미지
+25 힘
+15 민첩성
+20 생명력
+10 에너지
+50 라이프
모든 저항력 +30
착용 가능 요구치 -15%",갑옷,
Wealth,부,웰쓰,20 18 3,43,"민첩 +10
적 처치시 마나 +2
괴물에게서 얻는 금화 300% 증가
마법 아이템 발견 확률 100% 증가",갑옷,
Stone,돌,스톤,13 22 21 17,47,"타격 회복 속도 +60%
방어력 +250~290% 증가 (변함)
원거리 공격 방어력 +300
힘 +16
활력 +16
마력 +10
모든 저항 +15
16 레벨 타오르는 바위 (충전 80회)
16 레벨 점토 골렘 (충전 16회)",갑옷,
Duress,협박,협박,13 22 10,47,"+40% 매우 빠른 회복속도 증가
+10~20% 증가된 데미지 (변함)
37~133 콜드 데미지 추가
15% 강한 타격 확률
33% 상처 악화
+150~200% 방어 상승 (변함)
-20% 스태미나 소모 지연
콜드 저항력 +45%
라이트닝 저항력 +15%
파이어 저항력 +15%
포이즌 저항력 +15%",갑옷,
Gloom,우울,우울 ,19 22 21,47,"15% 기회로 레벨 3 딤 비젼 시전 (반격시)
+10% 매우 빠른 회복 속도 증가
+200~260% 방어 상승 (변함)
+10 힘
모든 저항력 +45
결빙 시간 1/2 감소
5% 데미지 마나로 흡수
-3 시야 증가",갑옷,
Prudence,현명,현명,23 3,49,"+25% 매우 빠른 회복속도 증가
+140~170% 방어 상승 (변함)
모든 저항력 +25~35 (변함)
데미지 감소 3
마법 데미지 감소 17
+2 마나 상승(적 제거시)
+1 시야 증가
내구력 1 회복 (매 4초당)",갑옷,무형(에테리얼) 갑옷에 만드는 것을 추천합니다.
Bramble,검은 딸기,검은 딸기,8 27 29 5,61,"착용시 15~21레벨의 쏜즈 오라의 효과 적용 (변함)
+50% 매우 빠른 회복속도 증가
+25~50% 포이즌 기술 데미지에 대하여 (변함)
+300 방어
최대 마나 증가 5%
마나 재생 15%
+5% 최대 콜드 저항력
파이어 저항력 +30%
포이즌 저항력 +100%
+13 몬스터를 죽일 때마다 라이프를 얻음
레벨 13 스피리트 오브 바브 (33회)",갑옷,
Chains of Honor,명예의 굴레,명예의 굴레,14 22 30 24,63,"모든 기술 +2
악마에게 주는 피해 +200%
언데드에게 주는 피해 +100%
적중당 생명력 8% 훔침
방어력 +70% 증가
힘 +20 힘
생명력 회복 +7
모든 저항 +65
피해 8% 감소
마법 아이템 발견 확률 25% 증가",갑옷,
Enigma,수수께끼,수수께끼,31 6 30,65,"모든 기술 +2
달리기/걷기 속도 +45%
+1 순간이동
방어력 +750~775 (변함)
힘 +0~74+ (캐릭터 레벨에 비례)[36]
최대 생명력 5% 증가
피해 8% 감소
적 처치시 생명력 +14
받는 피해의 15%만큼 마나 회복
마법 아이템 빌견 확률 1~99% 증가 (캐릭터 레벨에 비례)",갑옷,순간이동(텔레포트) 옵션이 매력적인 갑옷입니다.
Myth,신화,신화,15 11 4,25,"3% 기회로 레벨 1 하울 시전 (반격시)
10% 기회로 레벨 1 타운트 시전 (타격시)
+2 모든 바바리안 기술 레벨 상승
+30 원거리 공격 방어
라이프 회복 +10
공격자가 받는 데미지 14
착용 가능 요구치 -15%",갑옷,
Peace,평화,평화,13 10 11,29,"4% 기회로 레벨 5 슬로우 미사일 시전 (반격시)
2% 기회로 레벨 15 발키리 시전 (타격시)
+2 모든 아마존 기술 레벨 상승
+20% 매우 빠른 회복속도 증가
+2 크리티컬 스트라이크
콜드 저항력 +30%
공격자가 받는 데미지 14",갑옷,타격시 발키리 시전 옵션이 특징인 갑옷입니다.
